;;Total number of projects;Maximum number of projects in a client country;;Maximum number of projects in a provider country;;;;;;
;;785030;49195;;155501;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Client Country;Provider Country;Number collaborations;Sum number of projects in client country;Percent of maxiumum number of projects in a client country;Sum number of projects in provider country;Percentage of maximum number of projects in client country;Maximum number of collaboration between the client country and a provider country;Percentage of maxium collaborations for client country;Maximum number of collaboration between the provider country and a client country;Percentage of maxium collaborations for client country;
Brazil;Canada;41;1830;3,7;25485;16,39;403;10,17;14440;0,28;
Brazil;Cayman Islands;1;1830;3,7;21;0,01;403;0,25;7;14,29;
Brazil;China;32;1830;3,7;7801;5,02;403;7,94;3871;0,83;
Brazil;Colombia;2;1830;3,7;889;0,57;403;0,5;524;0,38;
Brazil;Croatia;6;1830;3,7;2778;1,79;403;1,49;1364;0,44;
Brazil;Cyprus;1;1830;3,7;441;0,28;403;0,25;291;0,34;
Brazil;Czech Republic;1;1830;3,7;1181;0,76;403;0,25;692;0,14;
Brazil;Denmark;1;1830;3,7;702;0,45;403;0,25;329;0,3;
Brazil;Dominican Republic;1;1830;3,7;752;0,48;403;0,25;412;0,24;
Brazil;Ecuador;1;1830;3,7;790;0,51;403;0,25;459;0,22;
Brazil;Egypt;80;1830;3,7;17182;11,05;403;19,85;8809;0,91;
Brazil;Estonia;2;1830;3,7;800;0,51;403;0,5;438;0,46;
Brazil;Finland;4;1830;3,7;808;0,52;403;0,99;318;1,26;
Brazil;Former Yugoslav Republic Of Macedonia;6;1830;3,7;1198;0,77;403;1,49;624;0,96;
Brazil;France;11;1830;3,7;3513;2,26;403;2,73;1601;0,69;
Brazil;French Polynesia;1;1830;3,7;24;0,02;403;0,25;22;4,55;
Brazil;Georgia;1;1830;3,7;503;0,32;403;0,25;258;0,39;
Brazil;Germany ;17;1830;3,7;7974;5,13;403;4,22;3700;0,46;
Brazil;Greece;2;1830;3,7;1848;1,19;403;0,5;844;0,24;
Brazil;Hungary;3;1830;3,7;1694;1,09;403;0,74;775;0,39;
Brazil;India;403;1830;3,7;155501;100;403;100;80388;0,5;
Brazil;Indonesia;31;1830;3,7;7742;4,98;403;7,69;4116;0,75;
Brazil;Ireland;1;1830;3,7;925;0,59;403;0,25;477;0,21;
Brazil;Israel;8;1830;3,7;3125;2,01;403;1,99;1688;0,47;
Brazil;Italy;24;1830;3,7;3404;2,19;403;5,96;1452;1,65;
Brazil;Japan;1;1830;3,7;705;0,45;403;0,25;359;0,28;
Brazil;Jordan;16;1830;3,7;864;0,56;403;3,97;438;3,65;
Brazil;Kazakhstan;12;1830;3,7;253;0,16;403;2,98;147;8,16;
Brazil;Kenya;1;1830;3,7;1637;1,05;403;0,25;818;0,12;
Brazil;Kyrgyzstan;10;1830;3,7;1521;0,98;403;2,48;821;1,22;
Brazil;Latvia;1;1830;3,7;655;0,42;403;0,25;255;0,39;
Brazil;Lithuania;4;1830;3,7;1867;1,2;403;0,99;958;0,42;
Brazil;Malaysia;8;1830;3,7;3160;2,03;403;1,99;998;0,8;
Brazil;Malta;1;1830;3,7;393;0,25;403;0,25;112;0,89;
Brazil;Mauritius;12;1830;3,7;223;0,14;403;2,98;113;10,62;
Brazil;Mexico;12;1830;3,7;3465;2,23;403;2,98;1732;0,69;
Brazil;Moldova;6;1830;3,7;3146;2,02;403;1,49;1541;0,39;
Brazil;Morocco;2;1830;3,7;1112;0,72;403;0,5;517;0,39;
Brazil;Nepal;2;1830;3,7;1861;1,2;403;0,5;1018;0,2;
Brazil;Netherlands;2;1830;3,7;3487;2,24;403;0,5;1579;0,13;
Brazil;New Zealand;1;1830;3,7;1482;0,95;403;0,25;827;0,12;
Brazil;Nigeria;1;1830;3,7;909;0,58;403;0,25;444;0,23;
Brazil;Oman;2;1830;3,7;306;0,2;403;0,5;125;1,6;
Brazil;Pakistan;166;1830;3,7;72899;46,88;403;41,19;36757;0,45;
Brazil;Peru;1;1830;3,7;919;0,59;403;0,25;498;0,2;
Brazil;Philippines;25;1830;3,7;13478;8,67;403;6,2;7059;0,35;
Brazil;Poland;17;1830;3,7;7145;4,59;403;4,22;3520;0,48;
Brazil;Portugal;10;1830;3,7;2963;1,91;403;2,48;1682;0,59;
Brazil;Qatar;2;1830;3,7;374;0,24;403;0,5;257;0,78;
Brazil;Romania;191;1830;3,7;92390;59,41;403;47,39;48482;0,39;
Brazil;Russian Federation;73;1830;3,7;28357;18,24;403;18,11;14718;0,5;
Brazil;Saudi Arabia;1;1830;3,7;645;0,41;403;0,25;335;0,3;
Brazil;Serbia;31;1830;3,7;10957;7,05;403;7,69;5747;0,54;
Brazil;South Africa;3;1830;3,7;2355;1,51;403;0,74;1027;0,29;
Brazil;Spain;13;1830;3,7;4028;2,59;403;3,23;1948;0,67;
Brazil;Sri Lanka;27;1830;3,7;6306;4,06;403;6,7;2884;0,94;
Brazil;Sweden;2;1830;3,7;3060;1,97;403;0,5;1468;0,14;
Brazil;Switzerland;1;1830;3,7;736;0,47;403;0,25;333;0,3;
Brazil;Syrian Arab Republic;1;1830;3,7;360;0,23;403;0,25;137;0,73;
Brazil;Thailand;3;1830;3,7;1454;0,94;403;0,74;717;0,42;
Brazil;Trinidad and Tobago;2;1830;3,7;43;0,03;403;0,5;17;11,76;
Brazil;Tunisia;2;1830;3,7;1968;1,27;403;0,5;825;0,24;
Brazil;Turkey;12;1830;3,7;4827;3,1;403;2,98;2421;0,5;
Brazil;Ukraine;81;1830;3,7;27775;17,86;403;20,1;13875;0,58;
Brazil;United Arab Emirates;4;1830;3,7;2335;1,5;403;0,99;1226;0,33;
Brazil;United Kingdom;41;1830;3,7;29927;19,25;403;10,17;14558;0,28;
Brazil;United States;123;1830;3,7;105420;67,79;403;30,52;80388;0,15;
Brazil;Uruguay;4;1830;3,7;1500;0,96;403;0,99;124;3,23;
Brazil;Venezuela;1;1830;3,7;613;0,39;403;0,25;382;0,26;
Brazil;Vietnam;43;1830;3,7;9827;6,32;403;10,67;4529;0,95;
Brunei Darussalam;Romania;2;2;0;92390;59,41;2;100;48482;0;
Bulgaria;;1;821;1,7;0;0;102;0,98;1527;0,07;
Bulgaria;Algeria;3;821;1,7;202;0,13;102;2,94;89;3,37;
Bulgaria;Argentina;11;821;1,7;12720;8,18;102;10,78;6839;0,16;
Bulgaria;Armenia;3;821;1,7;1985;1,28;102;2,94;1066;0,28;
Bulgaria;Australia;6;821;1,7;9761;6,28;102;5,88;5051;0,12;
Bulgaria;Bahamas;2;821;1,7;17;0,01;102;1,96;13;15,38;
Bulgaria;Bangladesh;13;821;1,7;17468;11,23;102;12,75;8416;0,15;
Bulgaria;Belarus ;9;821;1,7;3044;1,96;102;8,82;1391;0,65;
Bulgaria;Belgium ;1;821;1,7;1653;1,06;102;0,98;853;0,12;
Bulgaria;Bosnia and Herzegowina;1;821;1,7;1563;1,01;102;0,98;800;0,13;
Bulgaria;Brazil;5;821;1,7;4834;3,11;102;4,9;2612;0,19;
Bulgaria;Bulgaria;33;821;1,7;9387;6,04;102;32,35;4695;0,7;
Bulgaria;Canada;25;821;1,7;25485;16,39;102;24,51;14440;0,17;
Bulgaria;China;9;821;1,7;7801;5,02;102;8,82;3871;0,23;
Bulgaria;Croatia;9;821;1,7;2778;1,79;102;8,82;1364;0,66;
Bulgaria;Czech Republic;1;821;1,7;1181;0,76;102;0,98;692;0,14;
Bulgaria;Dominican Republic;1;821;1,7;752;0,48;102;0,98;412;0,24;
Bulgaria;Ecuador;2;821;1,7;790;0,51;102;1,96;459;0,44;
Bulgaria;Egypt;17;821;1,7;17182;11,05;102;16,67;8809;0,19;
Bulgaria;Estonia;2;821;1,7;800;0,51;102;1,96;438;0,46;
Bulgaria;France;3;821;1,7;3513;2,26;102;2,94;1601;0,19;
Bulgaria;Germany ;43;821;1,7;7974;5,13;102;42,16;3700;1,16;
Bulgaria;Greece;2;821;1,7;1848;1,19;102;1,96;844;0,24;
Bulgaria;Guatemala;1;821;1,7;187;0,12;102;0,98;95;1,05;
Bulgaria;India;102;821;1,7;155501;100;102;100;80388;0,13;
Bulgaria;Indonesia;2;821;1,7;7742;4,98;102;1,96;4116;0,05;
Bulgaria;Israel;3;821;1,7;3125;2,01;102;2,94;1688;0,18;
Bulgaria;Italy;5;821;1,7;3404;2,19;102;4,9;1452;0,34;
Bulgaria;Lithuania;2;821;1,7;1867;1,2;102;1,96;958;0,21;
Bulgaria;Madagascar;1;821;1,7;63;0,04;102;0,98;0;#DIV/0!;
Bulgaria;Malaysia;1;821;1,7;3160;2,03;102;0,98;998;0,1;
Bulgaria;Mexico;4;821;1,7;3465;2,23;102;3,92;1732;0,23;
Bulgaria;Moldova;50;821;1,7;3146;2,02;102;49,02;1541;3,24;
Bulgaria;Morocco;2;821;1,7;1112;0,72;102;1,96;517;0,39;
Bulgaria;Nepal;1;821;1,7;1861;1,2;102;0,98;1018;0,1;
Bulgaria;Netherlands;1;821;1,7;3487;2,24;102;0,98;1579;0,06;
Bulgaria;New Zealand;1;821;1,7;1482;0,95;102;0,98;827;0,12;
Bulgaria;Norway;1;821;1,7;779;0,5;102;0,98;348;0,29;
Bulgaria;Pakistan;55;821;1,7;72899;46,88;102;53,92;36757;0,15;
Bulgaria;Philippines;7;821;1,7;13478;8,67;102;6,86;7059;0,1;
Bulgaria;Poland;7;821;1,7;7145;4,59;102;6,86;3520;0,2;
Bulgaria;Portugal;1;821;1,7;2963;1,91;102;0,98;1682;0,06;
Bulgaria;Romania;84;821;1,7;92390;59,41;102;82,35;48482;0,17;
Bulgaria;Russian Federation;85;821;1,7;28357;18,24;102;83,33;14718;0,58;
Bulgaria;Serbia;14;821;1,7;10957;7,05;102;13,73;5747;0,24;
Bulgaria;Slovenia;2;821;1,7;630;0,41;102;1,96;332;0,6;
Bulgaria;South Africa;1;821;1,7;2355;1,51;102;0,98;1027;0,1;
Bulgaria;Spain;7;821;1,7;4028;2,59;102;6,86;1948;0,36;
Bulgaria;Sri Lanka;7;821;1,7;6306;4,06;102;6,86;2884;0,24;
Bulgaria;Sweden;5;821;1,7;3060;1,97;102;4,9;1468;0,34;
Bulgaria;Switzerland;1;821;1,7;736;0,47;102;0,98;333;0,3;
Bulgaria;Thailand;2;821;1,7;1454;0,94;102;1,96;717;0,28;
Bulgaria;Tunisia;3;821;1,7;1968;1,27;102;2,94;825;0,36;
Bulgaria;Turkey;3;821;1,7;4827;3,1;102;2,94;2421;0,12;
Bulgaria;Ukraine;34;821;1,7;27775;17,86;102;33,33;13875;0,25;
Bulgaria;United Arab Emirates;10;821;1,7;2335;1,5;102;9,8;1226;0,82;
Bulgaria;United Kingdom;32;821;1,7;29927;19,25;102;31,37;14558;0,22;
Bulgaria;United States;57;821;1,7;105420;67,79;102;55,88;64074;0,09;
Bulgaria;Uruguay;1;821;1,7;1500;0,96;102;0,98;923;0,11;
Bulgaria;Venezuela;3;821;1,7;613;0,39;102;2,94;382;0,79;
Bulgaria;Vietnam;20;821;1,7;9827;6,32;102;19,61;4529;0,44;
Bulgaria;Zimbabwe;1;821;1,7;92;0,06;102;0,98;40;2,5;
Burkina Faso ;India;1;1;0;155501;100;1;100;80388;0;
Cambodia ;Bangladesh;1;28;0,1;17468;11,23;6;16,67;171;0,58;
Cambodia ;Canada;1;28;0,1;25485;16,39;6;16,67;8500;0,01;
Cambodia ;Egypt;1;28;0,1;17182;11,05;6;16,67;8809;0,01;
Cambodia ;India;4;28;0,1;155501;100;6;66,67;80388;0;
Cambodia ;Jordan;1;28;0,1;864;0,56;6;16,67;438;0,23;
Cambodia ;Mexico;1;28;0,1;3465;2,23;6;16,67;1732;0,06;
Cambodia ;Pakistan;6;28;0,1;72899;46,88;6;100;36757;0,02;
Cambodia ;Portugal;1;28;0,1;2963;1,91;6;16,67;1682;0,06;
Cambodia ;Romania;1;28;0,1;92390;59,41;6;16,67;48482;0;
Cambodia ;Ukraine;2;28;0,1;27775;17,86;6;33,33;13875;0,01;
Cambodia ;United Kingdom;4;28;0,1;29927;19,25;6;66,67;14558;0,03;
Cambodia ;United States;5;28;0,1;105420;67,79;6;83,33;64074;0,01;
Cameroon ;Sri Lanka;1;2;0;6306;4,06;1;100;2884;0,03;
Cameroon ;United States;1;2;0;105420;67,79;1;100;64074;0;
Canada;;89;43960;89,4;0;0;8500;1,05;1527;5,83;
Canada;Afghanistan;4;43960;89,4;41;0,03;8500;0,05;16;25;
Canada;Algeria;4;43960;89,4;202;0,13;8500;0,05;89;4,49;
Canada;Anguilla;2;43960;89,4;5;0;8500;0,02;2;100;
Canada;Antigua and Barbuda;1;43960;89,4;5;0;8500;0,01;4;25;
Canada;Argentina;647;43960;89,4;12720;8,18;8500;7,61;6839;9,46;
Canada;Armenia;158;43960;89,4;1985;1,28;8500;1,86;1066;14,82;
Canada;Australia;601;43960;89,4;9761;6,28;8500;7,07;5051;11,9;
Canada;Austria;38;43960;89,4;602;0,39;8500;0,45;279;13,62;
Canada;Azerbaijan;61;43960;89,4;823;0,53;8500;0,72;493;12,37;
Canada;Bahrain;1;43960;89,4;29;0,02;8500;0,01;18;5,56;
Canada;Bangladesh;1072;43960;89,4;17468;11,23;8500;12,61;8416;12,74;
Canada;Belarus ;167;43960;89,4;3044;1,96;8500;1,96;1391;12,01;
Canada;Belgium ;66;43960;89,4;1653;1,06;8500;0,78;853;7,74;
Canada;Bolivia;6;43960;89,4;134;0,09;8500;0,07;55;10,91;
Canada;Bosnia and Herzegowina;161;43960;89,4;1563;1,01;8500;1,89;800;20,13;
Canada;Botswana;2;43960;89,4;4;0;8500;0,02;2;100;
Canada;Brazil;302;43960;89,4;4834;3,11;8500;3,55;2612;11,56;
Canada;Bulgaria;728;43960;89,4;9387;6,04;8500;8,56;4695;15,51;
Canada;Cambodia ;6;43960;89,4;189;0,12;8500;0,07;91;6,59;
Canada;Cameroon ;8;43960;89,4;115;0,07;8500;0,09;1;800;
Canada;Canada;1804;43960;89,4;25485;16,39;8500;21,22;8500;21,22;
Canada;Chile;26;43960;89,4;493;0,32;8500;0,31;293;8,87;
Canada;China;431;43960;89,4;7801;5,02;8500;5,07;3871;11,13;
Canada;Colombia;35;43960;89,4;889;0,57;8500;0,41;524;6,68;
Canada;Congo (Democratic Republic of the);1;43960;89,4;1;0;8500;0,01;1;100;
Canada;Costa Rica;4;43960;89,4;180;0,12;8500;0,05;106;3,77;
Canada;Cote d'Ivoire (Ivory Coast);1;43960;89,4;12;0,01;8500;0,01;3;33,33;
Canada;Croatia;195;43960;89,4;2778;1,79;8500;2,29;1364;14,3;
Canada;Cyprus;18;43960;89,4;441;0,28;8500;0,21;291;6,19;
Canada;Czech Republic;56;43960;89,4;1181;0,76;8500;0,66;692;8,09;
Canada;Denmark;50;43960;89,4;702;0,45;8500;0,59;329;15,2;
Canada;Dominican Republic;66;43960;89,4;752;0,48;8500;0,78;412;16,02;
Canada;Ecuador;88;43960;89,4;790;0,51;8500;1,04;459;19,17;
Canada;Egypt;963;43960;89,4;17182;11,05;8500;11,33;8809;10,93;
Canada;El Salvador;15;43960;89,4;260;0,17;8500;0,18;155;9,68;
Canada;Estonia;66;43960;89,4;800;0,51;8500;0,78;438;15,07;
Canada;Ethiopia;3;43960;89,4;84;0,05;8500;0,04;48;6,25;
Canada;Fiji;12;43960;89,4;228;0,15;8500;0,14;94;12,77;
Canada;Finland;43;43960;89,4;808;0,52;8500;0,51;318;13,52;
Canada;Former Yugoslav Republic Of Macedonia;46;43960;89,4;1198;0,77;8500;0,54;624;7,37;
Canada;France;217;43960;89,4;3513;2,26;8500;2,55;1601;13,55;
Canada;Georgia;19;43960;89,4;503;0,32;8500;0,22;258;7,36;
Canada;Germany ;427;43960;89,4;7974;5,13;8500;5,02;3700;11,54;
Canada;Ghana;8;43960;89,4;95;0,06;8500;0,09;53;15,09;
Canada;Gibraltar;1;43960;89,4;61;0,04;8500;0,01;17;5,88;
Canada;Greece;89;43960;89,4;1848;1,19;8500;1,05;844;10,55;
Canada;Guatemala;18;43960;89,4;187;0,12;8500;0,21;95;18,95;
Canada;Honduras;5;43960;89,4;89;0,06;8500;0,06;46;10,87;
Canada;Hong Kong;22;43960;89,4;671;0,43;8500;0,26;418;5,26;
Canada;Hungary;106;43960;89,4;1694;1,09;8500;1,25;775;13,68;
Canada;Iceland;1;43960;89,4;66;0,04;8500;0,01;33;3,03;
Canada;India;8500;43960;89,4;155501;100;8500;100;80388;10,57;
Canada;Indonesia;443;43960;89,4;7742;4,98;8500;5,21;4116;10,76;
Canada;Iraq ;2;43960;89,4;31;0,02;8500;0,02;1;200;
Canada;Ireland;48;43960;89,4;925;0,59;8500;0,56;1318;3,64;
Canada;Israel;143;43960;89,4;3125;2,01;8500;1,68;1688;8,47;
Canada;Italy;158;43960;89,4;3404;2,19;8500;1,86;1452;10,88;
Canada;Jamaica;18;43960;89,4;233;0,15;8500;0,21;107;16,82;
Canada;Japan;32;43960;89,4;705;0,45;8500;0,38;359;8,91;
Canada;Jordan;28;43960;89,4;864;0,56;8500;0,33;438;6,39;
Canada;Kazakhstan;6;43960;89,4;253;0,16;8500;0,07;147;4,08;
Canada;Kenya;112;43960;89,4;1637;1,05;8500;1,32;818;13,69;
Canada;Korea;7;43960;89,4;127;0,08;8500;0,08;59;11,86;
Canada;Kuwait;3;43960;89,4;45;0,03;8500;0,04;15;20;
Canada;Kyrgyzstan;73;43960;89,4;1521;0,98;8500;0,86;821;8,89;
Canada;Latvia;40;43960;89,4;655;0,42;8500;0,47;255;15,69;
Canada;Lebanon;51;43960;89,4;1029;0,66;8500;0,6;544;9,38;
Canada;Lithuania;76;43960;89,4;1867;1,2;8500;0,89;958;7,93;
Canada;Macau;1;43960;89,4;43;0,03;8500;0,01;25;4;
Canada;Madagascar;6;43960;89,4;63;0,04;8500;0,07;34;17,65;
Canada;Malaysia;186;43960;89,4;3160;2,03;8500;2,19;1760;10,57;
Canada;Maldives;4;43960;89,4;29;0,02;8500;0,05;9;44,44;
Canada;Malta;12;43960;89,4;393;0,25;8500;0,14;190;6,32;
Canada;Mauritius;19;43960;89,4;223;0,14;8500;0,22;113;16,81;
Canada;Mexico;169;43960;89,4;3465;2,23;8500;1,99;1732;9,76;
Canada;Moldova;185;43960;89,4;3146;2,02;8500;2,18;1541;12,01;
Canada;Mongolia;12;43960;89,4;331;0,21;8500;0,14;169;7,1;
Canada;Morocco;68;43960;89,4;1112;0,72;8500;0,8;517;13,15;
Canada;Myanmar;18;43960;89,4;118;0,08;8500;0,21;56;32,14;
Canada;Namibia;4;43960;89,4;17;0,01;8500;0,05;6;66,67;
Canada;Nepal;100;43960;89,4;1861;1,2;8500;1,18;1018;9,82;
Canada;Netherlands;156;43960;89,4;3487;2,24;8500;1,84;1579;9,88;
Canada;New Zealand;61;43960;89,4;1482;0,95;8500;0,72;827;7,38;
Canada;Nicaragua;1;43960;89,4;33;0,02;8500;0,01;10;10;
Canada;Nigeria;50;43960;89,4;909;0,58;8500;0,59;444;11,26;
Canada;Northern Mariana Islands;3;43960;89,4;10;0,01;8500;0,04;3;100;
Canada;Norway;30;43960;89,4;779;0,5;8500;0,35;348;8,62;
Canada;Oman;43;43960;89,4;306;0,2;8500;0,51;99;43,43;
Canada;Pakistan;4213;43960;89,4;72899;46,88;8500;49,56;1320;319,17;
Canada;Palestine;7;43960;89,4;206;0,13;8500;0,08;104;6,73;
Canada;Panama;3;43960;89,4;47;0,03;8500;0,04;28;10,71;
Canada;Paraguay ;1;43960;89,4;6;0;8500;0,01;4;25;
Canada;Peru;54;43960;89,4;919;0,59;8500;0,64;498;10,84;
Canada;Philippines;972;43960;89,4;13478;8,67;8500;11,44;7059;13,77;
Canada;Poland;336;43960;89,4;7145;4,59;8500;3,95;3520;9,55;
Canada;Portugal;121;43960;89,4;2963;1,91;8500;1,42;1682;7,19;
Canada;Puerto Rico;3;43960;89,4;56;0,04;8500;0,04;31;9,68;
Canada;Qatar;9;43960;89,4;374;0,24;8500;0,11;257;3,5;
Canada;Romania;4739;43960;89,4;92390;59,41;8500;55,75;48482;9,77;
Canada;Russian Federation;1486;43960;89,4;28357;18,24;8500;17,48;14718;10,1;
Canada;Rwanda;1;43960;89,4;42;0,03;8500;0,01;23;4,35;
Canada;Saint Helena (UK);2;43960;89,4;15;0,01;8500;0,02;10;20;
Canada;Saint Lucia;3;43960;89,4;44;0,03;8500;0,04;25;12;
Canada;Saint Vincent and the Grenadines;2;43960;89,4;81;0,05;8500;0,02;29;6,9;
Canada;San Marino;2;43960;89,4;11;0,01;8500;0,02;4;50;
Canada;Saudi Arabia;41;43960;89,4;645;0,41;8500;0,48;335;12,24;
Canada;Serbia;603;43960;89,4;10957;7,05;8500;7,09;5747;10,49;
Canada;Serbia + Montenegro (old);27;43960;89,4;699;0,45;8500;0,32;393;6,87;
Canada;Singapore;122;43960;89,4;2154;1,39;8500;1,44;1182;10,32;
Canada;Slovakia;33;43960;89,4;631;0,41;8500;0,39;306;10,78;
Canada;Slovenia;25;43960;89,4;630;0,41;8500;0,29;332;7,53;
Canada;South Africa;140;43960;89,4;2355;1,51;8500;1,65;1027;13,63;
Canada;Spain;234;43960;89,4;4028;2,59;8500;2,75;1948;12,01;
Canada;Sri Lanka;351;43960;89,4;6306;4,06;8500;4,13;2884;12,17;
Canada;Svalbard and Jan Mayen Islands;5;43960;89,4;13;0,01;8500;0,06;5;100;
Canada;Sweden;186;43960;89,4;3060;1,97;8500;2,19;1468;12,67;
Canada;Switzerland;79;43960;89,4;736;0,47;8500;0,93;333;23,72;
Canada;Syrian Arab Republic;16;43960;89,4;360;0,23;8500;0,19;137;11,68;
Canada;Taiwan;7;43960;89,4;129;0,08;8500;0,08;61;11,48;
Canada;Tanzania;3;43960;89,4;23;0,01;8500;0,04;9;33,33;
Canada;Thailand;110;43960;89,4;1454;0,94;8500;1,29;717;15,34;
Canada;Trinidad and Tobago;5;43960;89,4;43;0,03;8500;0,06;22;22,73;
Canada;Tunisia;109;43960;89,4;1968;1,27;8500;1,28;48;227,08;
Canada;Turkey;233;43960;89,4;4827;3,1;8500;2,74;2421;9,62;
Canada;Uganda;1;43960;89,4;40;0,03;8500;0,01;26;3,85;
Canada;Ukraine;1317;43960;89,4;27775;17,86;8500;15,49;13875;9,49;
Canada;United Arab Emirates;166;43960;89,4;2335;1,5;8500;1,95;1226;13,54;
Canada;United Kingdom;1577;43960;89,4;29927;19,25;8500;18,55;14558;10,83;
Canada;United States;6028;43960;89,4;105420;67,79;8500;70,92;64074;9,41;
Canada;Uruguay;111;43960;89,4;1500;0,96;8500;1,31;923;12,03;
Canada;Uzbekistan;35;43960;89,4;393;0,25;8500;0,41;208;16,83;
Canada;Venezuela;34;43960;89,4;613;0,39;8500;0,4;382;8,9;
Canada;Vietnam;567;43960;89,4;9827;6,32;8500;6,67;4529;12,52;
Canada;Yemen;1;43960;89,4;33;0,02;8500;0,01;18;5,56;
Canada;Zambia;4;43960;89,4;12;0,01;8500;0,05;4;100;
Canada;Zimbabwe;8;43960;89,4;92;0,06;8500;0,09;40;20;
Cape Verde;Romania;1;4;0;92390;59,41;2;50;48482;0;
Cape Verde;Singapore;2;4;0;2154;1,39;2;100;1182;0,17;
Cape Verde;United States;1;4;0;105420;67,79;2;50;64074;0;
Cayman Islands;Canada;2;18;0;25485;16,39;7;28,57;14440;0,01;
Cayman Islands;India;1;18;0;155501;100;7;14,29;80388;0;
Cayman Islands;New Zealand;1;18;0;1482;0,95;7;14,29;827;0,12;
Cayman Islands;Romania;1;18;0;92390;59,41;7;14,29;48482;0;
Cayman Islands;Sri Lanka;7;18;0;6306;4,06;7;100;2884;0,24;
Cayman Islands;Turkey;1;18;0;4827;3,1;7;14,29;2421;0,04;
Cayman Islands;United Kingdom;1;18;0;29927;19,25;7;14,29;14558;0,01;
Cayman Islands;United States;3;18;0;105420;67,79;7;42,86;64074;0;
Cayman Islands;Vietnam;1;18;0;9827;6,32;7;14,29;4529;0,02;
Chile;Argentina;2;176;0,4;12720;8,18;34;5,88;6839;0,03;
Chile;Bangladesh;2;176;0,4;17468;11,23;34;5,88;8416;0,02;
Chile;Belarus ;1;176;0,4;3044;1,96;34;2,94;1391;0,07;
Chile;Canada;5;176;0,4;25485;16,39;34;14,71;14440;0,03;
Chile;Chile;3;176;0,4;493;0,32;34;8,82;293;1,02;
Chile;China;4;176;0,4;7801;5,02;34;11,76;3871;0,1;
Chile;Croatia;1;176;0,4;2778;1,79;34;2,94;1364;0,07;
Chile;Egypt;2;176;0,4;17182;11,05;34;5,88;385;0,52;
Chile;Hungary;1;176;0,4;1694;1,09;34;2,94;48;2,08;
Chile;India;34;176;0,4;155501;100;34;100;80388;0,04;
Chile;Indonesia;2;176;0,4;7742;4,98;34;5,88;4116;0,05;
Chile;Italy;2;176;0,4;3404;2,19;34;5,88;1452;0,14;
Chile;Kenya;1;176;0,4;1637;1,05;34;2,94;818;0,12;
Chile;Malaysia;1;176;0,4;3160;2,03;34;2,94;1760;0,06;
Chile;Mexico;4;176;0,4;3465;2,23;34;11,76;1732;0,23;
Chile;Myanmar;1;176;0,4;118;0,08;34;2,94;56;1,79;
Chile;Nigeria;1;176;0,4;909;0,58;34;2,94;444;0,23;
Chile;Pakistan;17;176;0,4;72899;46,88;34;50;36757;0,05;
Chile;Philippines;10;176;0,4;13478;8,67;34;29,41;7059;0,14;
Chile;Poland;1;176;0,4;7145;4,59;34;2,94;3520;0,03;
Chile;Romania;24;176;0,4;92390;59,41;34;70,59;48482;0,05;
Chile;Russian Federation;4;176;0,4;28357;18,24;34;11,76;14718;0,03;
Chile;Serbia;1;176;0,4;10957;7,05;34;2,94;5747;0,02;
Chile;Spain;2;176;0,4;4028;2,59;34;5,88;1948;0,1;
Chile;Sri Lanka;1;176;0,4;6306;4,06;34;2,94;2884;0,03;
Chile;Thailand;2;176;0,4;1454;0,94;34;5,88;717;0,28;
Chile;Uganda;1;176;0,4;40;0,03;34;2,94;26;3,85;
Chile;Ukraine;12;176;0,4;27775;17,86;34;35,29;13875;0,09;
Chile;United Kingdom;14;176;0,4;29927;19,25;34;41,18;14558;0,1;
Chile;United States;18;176;0,4;105420;67,79;34;52,94;64074;0,03;
Chile;Vietnam;2;176;0,4;9827;6,32;34;5,88;4529;0,04;
China;Argentina;11;629;1,3;12720;8,18;123;8,94;6839;0,16;
China;Armenia;2;629;1,3;1985;1,28;123;1,63;1066;0,19;
China;Australia;7;629;1,3;9761;6,28;123;5,69;5051;0,14;
China;Bangladesh;13;629;1,3;17468;11,23;123;10,57;8416;0,15;
China;Belarus ;6;629;1,3;3044;1,96;123;4,88;1391;0,43;
China;Belgium ;1;629;1,3;1653;1,06;123;0,81;853;0,12;
China;Bosnia and Herzegowina;1;629;1,3;1563;1,01;123;0,81;800;0,13;
China;Brazil;1;629;1,3;4834;3,11;123;0,81;2612;0,04;
China;Bulgaria;7;629;1,3;9387;6,04;123;5,69;4695;0,15;
China;Canada;32;629;1,3;25485;16,39;123;26,02;14440;0,22;
China;Chile;1;629;1,3;493;0,32;123;0,81;34;2,94;
China;China;19;629;1,3;7801;5,02;123;15,45;123;15,45;
China;Colombia;1;629;1,3;889;0,57;123;0,81;524;0,19;
China;Croatia;2;629;1,3;2778;1,79;123;1,63;1364;0,15;
China;Ecuador;1;629;1,3;790;0,51;123;0,81;459;0,22;
China;Egypt;13;629;1,3;17182;11,05;123;10,57;8809;0,15;
China;El Salvador;1;629;1,3;260;0,17;123;0,81;155;0,65;
China;Fiji;3;629;1,3;228;0,15;123;2,44;94;3,19;
China;Former Yugoslav Republic Of Macedonia;1;629;1,3;1198;0,77;123;0,81;624;0,16;
China;France;6;629;1,3;3513;2,26;123;4,88;1601;0,37;
China;Germany ;8;629;1,3;7974;5,13;123;6,5;3700;0,22;
